action,weekday,month,day,year,hour,score
get_like,6,3,13,2016,21,4
get_like,6,3,13,2016,21,1
get_like,6,3,13,2016,22,3
get_like,6,3,13,2016,22,2
get_like,6,3,13,2016,23,4
get_like,0,3,14,2016,9,3
get_like,0,3,14,2016,10,2
get_like,0,3,14,2016,13,5
get_like,0,3,14,2016,15,4
get_like,0,3,14,2016,16,3
get_like,0,3,14,2016,17,2
get_like,0,3,14,2016,21,3
get_like,0,3,14,2016,22,2
get_like,1,3,15,2016,10,1
get_like,1,3,15,2016,11,2
get_like,1,3,15,2016,12,9
get_like,1,3,15,2016,17,1
get_like,1,3,15,2016,18,1
get_like,1,3,15,2016,19,3
get_like,1,3,15,2016,21,2
get_like,2,3,16,2016,19,3
get_like,3,3,17,2016,2,2
get_like,3,3,17,2016,10,1
get_like,3,3,17,2016,11,5
get_like,5,3,19,2016,9,6
get_like,5,3,19,2016,10,8
get_like,6,3,20,2016,10,7
get_like,5,3,26,2016,22,7
get_like,6,3,27,2016,1,1
get_like,6,3,27,2016,12,1
get_like,6,3,27,2016,13,1
get_like,6,3,27,2016,16,1
get_like,6,3,27,2016,17,1
get_like,6,3,27,2016,19,4
get_like,0,3,28,2016,0,1
get_like,0,3,28,2016,1,1
get_like,0,3,28,2016,17,1
get_like,0,3,28,2016,17,1
get_like,0,3,28,2016,20,1
get_like,0,3,28,2016,22,2
get_like,1,3,29,2016,1,1
get_like,1,3,29,2016,7,7
get_like,1,3,29,2016,8,2
get_like,1,3,29,2016,9,17
get_like,1,3,29,2016,10,8
get_like,1,3,29,2016,11,1
get_like,3,3,31,2016,11,2
get_like,3,3,31,2016,18,2
get_like,3,3,31,2016,22,2
get_like,0,4,4,2016,14,8
get_like,0,4,4,2016,15,5
get_like,0,4,4,2016,18,2
get_like,0,4,4,2016,23,1
get_like,1,4,5,2016,8,7
get_like,1,4,5,2016,9,2
get_like,1,4,5,2016,11,1
get_like,1,4,5,2016,20,3
get_like,1,4,5,2016,21,1
get_like,2,4,6,2016,2,1
get_like,2,4,6,2016,11,1
get_like,2,4,6,2016,13,2
get_like,2,4,6,2016,17,1
get_like,2,4,6,2016,21,1
get_like,2,4,6,2016,22,3
get_like,2,4,6,2016,23,2
get_like,3,4,7,2016,10,5
get_like,3,4,7,2016,11,1
get_like,3,4,7,2016,12,2
get_like,4,4,8,2016,9,1
get_like,5,4,9,2016,13,1
get_like,5,4,9,2016,23,1
get_like,6,4,10,2016,1,1
get_like,6,4,10,2016,13,1
get_like,6,4,10,2016,14,10
get_like,6,4,10,2016,15,1
get_like,6,4,10,2016,16,3
get_like,6,4,10,2016,17,2
get_like,6,4,10,2016,17,2
get_like,6,4,10,2016,17,1
get_like,6,4,10,2016,18,2
get_like,6,4,10,2016,19,1
get_like,6,4,10,2016,19,1
get_like,6,4,10,2016,22,3
get_like,0,4,11,2016,9,2
get_like,0,4,11,2016,13,1
get_like,0,4,11,2016,13,1
get_like,0,4,11,2016,20,2
get_like,0,4,11,2016,21,3
get_like,1,4,12,2016,9,3
get_like,1,4,12,2016,9,2
get_like,1,4,12,2016,10,1
get_like,1,4,12,2016,11,1
get_like,1,4,12,2016,11,2
get_like,1,4,12,2016,12,1
get_like,1,4,12,2016,13,3
get_like,1,4,12,2016,21,3
get_like,2,4,13,2016,18,2
get_like,2,4,13,2016,20,3
get_like,3,4,14,2016,11,13
get_like,3,4,14,2016,15,2
