action,weekday,month,day,year,hour,score
get_asset_comment,0,1,25,2016,22,1
get_asset_comment,1,1,26,2016,11,1
get_asset_comment,2,1,27,2016,9,1
get_asset_comment,3,1,28,2016,9,1
get_asset_comment,0,2,1,2016,12,1
get_asset_comment,1,2,2,2016,0,1
get_asset_comment,4,2,5,2016,18,1
get_asset_comment,5,2,6,2016,11,1
get_asset_comment,5,2,6,2016,20,1
get_asset_comment,5,2,6,2016,22,1
get_asset_comment,5,2,6,2016,23,1
get_asset_comment,6,2,7,2016,1,1
get_asset_comment,6,2,7,2016,1,1
get_asset_comment,6,2,7,2016,17,1
get_asset_comment,6,2,7,2016,17,1
get_asset_comment,6,2,7,2016,23,1
get_asset_comment,0,2,8,2016,1,1
get_asset_comment,0,2,8,2016,6,1
get_asset_comment,0,2,8,2016,6,1
get_asset_comment,0,2,8,2016,8,1
get_asset_comment,0,2,8,2016,9,1
get_asset_comment,0,2,8,2016,15,1
get_asset_comment,0,2,8,2016,23,1
get_asset_comment,1,2,9,2016,0,2
get_asset_comment,1,2,9,2016,9,1
get_asset_comment,1,2,9,2016,10,1
get_asset_comment,1,2,9,2016,11,2
get_asset_comment,1,2,9,2016,11,2
get_asset_comment,1,2,9,2016,11,1
get_asset_comment,1,2,9,2016,11,1
get_asset_comment,1,2,9,2016,11,1
get_asset_comment,1,2,9,2016,12,1
get_asset_comment,1,2,9,2016,12,1
get_asset_comment,1,2,9,2016,12,1
get_asset_comment,2,2,10,2016,0,2
get_asset_comment,2,2,10,2016,13,1
get_asset_comment,2,2,10,2016,20,1
get_asset_comment,3,2,11,2016,1,1
get_asset_comment,3,2,11,2016,10,1
get_asset_comment,4,2,12,2016,10,1
get_asset_comment,6,2,14,2016,8,1
get_asset_comment,6,2,14,2016,14,1
get_asset_comment,0,2,15,2016,16,1
get_asset_comment,0,2,15,2016,22,1
get_asset_comment,1,2,16,2016,11,1
get_asset_comment,1,2,16,2016,11,1
get_asset_comment,1,2,16,2016,11,1
get_asset_comment,4,2,26,2016,19,1
get_asset_comment,2,3,2,2016,4,1
get_asset_comment,2,3,2,2016,4,1
get_asset_comment,2,3,2,2016,15,1
get_asset_comment,4,3,4,2016,10,2
get_asset_comment,5,3,5,2016,14,1
get_asset_comment,5,3,5,2016,14,2
get_asset_comment,5,3,5,2016,20,1
get_asset_comment,6,3,6,2016,14,1
get_asset_comment,1,3,8,2016,0,1
get_asset_comment,1,3,8,2016,0,1
get_asset_comment,1,3,8,2016,0,1
get_asset_comment,1,3,8,2016,0,1
get_asset_comment,1,3,8,2016,0,1
get_asset_comment,3,3,10,2016,13,1
get_asset_comment,4,3,11,2016,15,1
get_asset_comment,5,3,12,2016,18,1
get_asset_comment,5,3,12,2016,18,1
get_asset_comment,6,3,13,2016,22,1
get_asset_comment,6,3,13,2016,22,1
get_asset_comment,6,3,13,2016,23,1
get_asset_comment,1,3,15,2016,10,2
get_asset_comment,3,4,7,2016,12,1
get_asset_comment,3,4,7,2016,23,1
get_asset_comment,4,4,8,2016,19,1
get_asset_comment,5,4,9,2016,17,1
get_asset_comment,6,4,10,2016,15,1
get_asset_comment,6,4,10,2016,16,1
get_asset_comment,6,4,10,2016,17,2
get_asset_comment,6,4,10,2016,19,1
get_asset_comment,6,4,10,2016,19,1
get_asset_comment,6,4,10,2016,19,1
get_asset_comment,6,4,10,2016,19,1
get_asset_comment,6,4,10,2016,22,1
get_asset_comment,0,4,11,2016,21,1
get_asset_comment,1,4,12,2016,9,1
get_asset_comment,1,4,12,2016,12,1
get_asset_comment,2,4,13,2016,19,1
get_asset_comment,2,4,13,2016,19,1
get_asset_comment,2,4,13,2016,19,1
get_asset_comment,2,4,13,2016,19,1
get_asset_comment,2,4,13,2016,19,1
get_asset_comment,4,4,15,2016,0,1
get_asset_comment,5,4,16,2016,17,1
get_asset_comment,5,4,16,2016,17,1
get_asset_comment,5,4,16,2016,19,2
get_asset_comment,6,4,17,2016,12,1
get_asset_comment,6,4,17,2016,15,1
get_asset_comment,6,4,17,2016,16,1
get_asset_comment,6,4,17,2016,17,2
get_asset_comment,6,4,17,2016,23,1
get_asset_comment,0,4,18,2016,15,4
get_asset_comment,0,4,18,2016,20,1
get_asset_comment,0,4,18,2016,20,1
get_asset_comment,1,4,19,2016,3,1
get_asset_comment,1,4,19,2016,9,1
get_asset_comment,1,4,19,2016,10,1
get_asset_comment,1,4,19,2016,11,1
get_asset_comment,1,4,19,2016,11,1
get_asset_comment,1,4,19,2016,11,1
get_asset_comment,1,4,19,2016,23,1
get_asset_comment,2,4,20,2016,10,1
get_asset_comment,2,4,20,2016,19,1
get_asset_comment,3,4,21,2016,9,1
get_asset_comment,3,4,21,2016,11,1
get_asset_comment,3,4,21,2016,11,1
get_asset_comment,3,4,21,2016,11,1
get_asset_comment,3,4,21,2016,11,1
get_asset_comment,5,4,23,2016,18,1
get_asset_comment,6,4,24,2016,21,1
get_asset_comment,1,4,26,2016,11,1
get_asset_comment,1,4,26,2016,11,1
get_asset_comment,1,4,26,2016,11,1
get_asset_comment,1,4,26,2016,12,1
get_asset_comment,1,4,26,2016,12,1
get_asset_comment,1,4,26,2016,16,1
get_asset_comment,1,4,26,2016,17,1
get_asset_comment,1,4,26,2016,21,1
